clouddn.com qiniuCloud
iqiyi.com iqiyi
m.taobao.com taobao
v.baidu.com baidu-vedio
aliyuncs.com aliyun
douding.cn douding
huya.com huya
umeng.com umeng
alipay alipy
game.qq.com qqgame
accuweather.com chinese-weather
foxitreader foxitreader
frdic.com French-assistant
game.360.cn 360
look.360.cn 360look
share.baidu.com baidu-share
vivo.com.cn vivo-store
amap.com gaode-map
qun.qq.com qq-group
pinduoduo.com pinduoduo
alicdn.com aliwangwang
sina.com sina
getui.com getui
tieba.baidu.com baidu-tieba
y.qq.com qq-music
youku.com youku
xtgreat.com shuji-technology
ludashi.com ludashi
msn.com msn
tanx.com tanx
sogou.com sogou
youdao.com youdao
webterren.com tianrun
browser.qq.com qq-browser
360safe.com 360
zijingbt.njuftp.org zijing
admaster.com.cn admaster
hunantv.com mango-tv
zhihu.com zhihu
www.worldcreative.org world-Creative
www.tubiaoxiu.com tubiaoxiu
www.jjwxc.net wenxuecheng
www.hibor.com.cn hibor
www.gov-report.com gov-report
www.docin.com douding
www.adobe.com Adobe
pos.baidu.com baidu-pos
duba.net jinshanduba
harvard.edu harvard
pan.baidu.com baiduyun
bytefence.com bytefence
miaozhen.com miaozhen
miui.com MIUI
wifi.liebao.cn liebao-WIFI
jisupdf.com jisuPDF
analyticservice.net analyticservice
market.xiaomi.com xiaomi-store
weixin.qq.com wechat
study.nju.edu.cn studyNJU
mackeeper.com mackeeper
mihoyo.com mihoyo
lianmeng.360.cn 360
speedm.qq.com qq-car
igexin.com igexin
stanford.edu stanford
union.360.cn 360
cmcm.com liebao
ipinyou.com pinyou
jd.com jingdong
gentags.net gentags
v.qq.com tencent-vedio
3g.qq.com mobile-qq
gj.qq.com tencent-guanjia
miui.com MIUI
mgtv.com mongo-tv
xiaomi.com xiaomi
nearme.com OPPO-cloud
so.com 360-search
elite.nju.edu.cn eliteNJU
mediav.com mediav
wps.cn wps
youku.com youku
jingyan.baidu.com baidujingyan
jw.nju.edu.cn jwNJU
ke.qq.com qq-ketang
lib.nju.edu.cn lib-NJU
libw.me Blog
lxbjs.baidu.com lxb
music.126.net netease-music
yoyi.com.cn youyiku
kugou.com kugou
digicert.com digicert
biligame.com biligame
hunantv.com mongo-tv
qzone.qq.com qzone
vivo.com.cn vivo
eastday.com eastday
