No.,Time,Source,Destination,Protocol,Length,Info,host
46,0.387319,114.212.133.64,223.202.200.189,HTTP,608,POST /stat/event HTTP/1.1  (text/json),kv.stat.nearme.com.cn
51,0.421297,223.202.200.189,114.212.133.64,HTTP,554,HTTP/1.1 200 OK  (text/plain),
63,1.457476,114.212.130.214,42.236.33.173,HTTP,1145,POST /commonquery HTTP/1.1  (application/x-www-form-urlencoded),c.skconf.f.360.cn
65,1.485526,42.236.33.173,114.212.130.214,HTTP,498,HTTP/1.1 200 OK  (application/octet-stream),
86,6.358452,114.212.135.71,223.252.199.66,HTTP,1357,POST /eapi/pl/count HTTP/1.1  (application/x-www-form-urlencoded),music.163.com
90,6.397863,223.252.199.66,114.212.135.71,HTTP,154,HTTP/1.1 200 OK  (text/plain),
123,16.599316,114.212.135.71,223.252.199.66,HTTP,679,POST /api/feedback/client/log HTTP/1.1 ,music.163.com
126,16.626806,223.252.199.66,114.212.135.71,HTTP,458,HTTP/1.1 200 OK  (text/plain),
143,17.31529,111.206.223.249,114.212.134.148,HTTP,784,[TCP ACKed unseen segment] HTTP/1.1 200 OK  (application/json),
145,17.348918,111.206.223.249,114.212.134.148,HTTP,784,[TCP ACKed unseen segment] HTTP/1.1 200 OK  (application/json),
163,21.359518,114.212.135.71,223.252.199.66,HTTP,1357,POST /eapi/pl/count HTTP/1.1  (application/x-www-form-urlencoded),music.163.com
167,21.403307,223.252.199.66,114.212.135.71,HTTP,154,HTTP/1.1 200 OK  (text/plain),
175,23.985716,114.212.133.64,223.202.200.189,HTTP,582,POST /stat/event HTTP/1.1  (text/json),kv.stat.nearme.com.cn
179,24.02241,223.202.200.189,114.212.133.64,HTTP,554,HTTP/1.1 200 OK  (text/plain),
183,24.043623,114.212.133.64,222.192.185.69,HTTP,219,POST /c.gif?act=mbsdkdata&smkdata=00000004b4ae03e2e4a5d55403bf9a6b242b3993&EC=0&appkey=f5b9737cf5083c40f59389c2f35fa924&item=hyevent&enc=b64 HTTP/1.1  (application/x-www-form-urlencoded),mlog.hiido.com
